id,name,display_name,time_minutes,protocol_family,cards_to_draw,work_structure,rest_structure,scoring_method,intensity_target,recommended_difficulty_min,recommended_difficulty_max,allows_plyometrics,max_plyometric_cards,requires_timer,instructions_short,instructions_long,science_rationale,safety_notes,status,version,review_status,last_reviewed
amrap_5,AMRAP 5,AMRAP 5,5,amrap,3,Continuous circuit for 5 minutes,Rest as needed,Total completed rounds plus reps,RPE 7-8,1,3,TRUE,1,TRUE,Complete as many quality rounds as possible in 5 minutes.,Cycle through the drawn cards for 5 minutes. Keep reps smooth and record rounds plus extra reps.,Short repeated circuits can build density and conditioning when effort is controlled.,Prioritize technique over speed and stop for pain.,active,1.0,reviewed,2026-06-01
amrap_10,AMRAP 10,AMRAP 10,10,amrap,4,Continuous circuit for 10 minutes,Rest as needed,Total completed rounds plus reps,RPE 7-8,1,4,TRUE,2,TRUE,Complete as many quality rounds as possible in 10 minutes.,Cycle through all cards for 10 minutes at a sustainable pace. Record rounds and reps for repeatability.,Density-style work supports conditioning and local muscular endurance.,Avoid racing early; leave one or two reps in reserve.,active,1.0,reviewed,2026-06-01
amrap_15,AMRAP 15,AMRAP 15,15,amrap,5,Continuous circuit for 15 minutes,Rest as needed,Total completed rounds plus reps,RPE 7,1,4,TRUE,2,TRUE,Complete as many quality rounds as possible in 15 minutes.,Move steadily through five cards for the full time. Rest briefly before form degrades.,Longer density blocks favor aerobic support and pacing practice.,Scale high-skill movements before fatigue accumulates.,active,1.0,reviewed,2026-06-01
emom_5,EMOM 5,EMOM 5,5,emom,3,One card at the top of each minute,Remaining time in each minute,Completed minutes,RPE 6-8,1,3,FALSE,0,TRUE,Start a card each minute and rest with remaining time.,Rotate through cards at the top of each minute for 5 minutes. Choose reps that leave rest before the next minute.,Intervals create predictable work-rest exposure and pacing feedback.,Reduce reps if you cannot finish with safe form.,active,1.0,reviewed,2026-06-01
emom_10,EMOM 10,EMOM 10,10,emom,4,One card at the top of each minute,Remaining time in each minute,Completed minutes,RPE 6-8,1,4,FALSE,0,TRUE,Start a card each minute for 10 minutes.,Rotate through the drawn cards until 10 minutes are complete. Keep each minute repeatable.,Fixed intervals support quality practice under mild fatigue.,Keep loads conservative for repeated starts.,active,1.0,reviewed,2026-06-01
emom_15,EMOM 15,EMOM 15,15,emom,5,One card at the top of each minute,Remaining time in each minute,Completed minutes,RPE 6-7,1,4,FALSE,0,TRUE,Start a card each minute for 15 minutes.,Use a sustainable rep target and rotate through five cards. Rest during the remainder of each minute.,Longer interval practice supports consistency and pacing.,Do not chase failure; scale reps early.,active,1.0,reviewed,2026-06-01
tabata_5,Tabata 5,Tabata 5,5,tabata,2,20 seconds work,10 seconds rest,Completed intervals,RPE 8,1,3,TRUE,1,TRUE,Alternate two cards using 20 seconds work and 10 seconds rest.,Perform 20 seconds of work and 10 seconds of rest; alternating cards for approximately 5 minutes.,Short intervals can raise heart rate quickly with simple movements.,Avoid complex loaded exercises when moving fast.,active,1.0,reviewed,2026-06-01
tabata_10,Tabata 10,Tabata 10,10,tabata,4,20 seconds work,10 seconds rest,Completed intervals,RPE 8,1,4,TRUE,2,TRUE,Use 20 seconds work and 10 seconds rest across four cards.,Rotate through four cards for 20-on 10-off intervals until time expires.,Interval density supports conditioning when exercise selection is safe.,Choose low-skill movements and stop before form breaks.,active,1.0,reviewed,2026-06-01
tabata_15,Tabata 15,Tabata 15,15,tabata,5,20 seconds work,10 seconds rest,Completed intervals,RPE 7-8,1,4,TRUE,2,TRUE,Rotate five cards with 20 seconds work and 10 seconds rest.,Keep intensity sustainable and repeat cards in order for the full 15-minute block.,Longer intervals require pacing to avoid excessive fatigue.,Use low-impact substitutions for beginners.,active,1.0,reviewed,2026-06-01
pyramid_5,Pyramid 5,Pyramid 5,5,pyramid,3,Ascending then descending reps,Rest as needed,Highest completed rung,RPE 7,1,3,FALSE,0,FALSE,Build reps up and then back down across three cards.,Perform 2-4-6 reps then descend if time allows. Use time-based holds as 15-20 second blocks.,Pyramids provide progressive exposure without needing max effort.,Stop at a manageable rung and keep transitions calm.,active,1.0,reviewed,2026-06-01
