id,name,display_name,equipment,equipment_group,movement_pattern,primary_category,secondary_categories,difficulty_level,intensity_level,impact_level,space_required,skill_level,beginner_safe,athlete_suitability,protocol_suitability,default_reps,default_time_seconds,default_sets,regression,progression,coaching_cues,safety_notes,contraindications,strength_score,mobility_score,stability_score,power_score,conditioning_score,card_text_short,card_text_long,status,version,review_status,last_reviewed
push_up,Push-Up,Push-Up,bodyweight,none,push,upper_body,core|stability,2,moderate,low,small,beginner,TRUE,general|athlete,amrap|emom|ladder,8-15,0,1,Incline push-up,Feet-elevated push-up,Brace ribs down|Hands under shoulders|Move as one plank,Avoid sagging hips|Stop for shoulder pain,wrist_pain|acute_shoulder_pain,3,1,3,1,2,8-15 reps,Keep a strong plank and complete smooth push-ups.,active,1.0,reviewed,2026-06-01
air_squat,Air Squat,Air Squat,bodyweight,none,squat,lower_body,mobility|conditioning,1,moderate,low,small,beginner,TRUE,general|beginner,amrap|emom|tabata|ladder,12-20,0,1,Box squat,Tempo squat,Knees track toes|Chest tall|Full foot pressure,Avoid painful depth|Control each rep,acute_knee_pain,3,2,2,1,3,12-20 reps,Sit between the hips and stand tall with control.,active,1.0,reviewed,2026-06-01
reverse_lunge,Reverse Lunge,Reverse Lunge,bodyweight,none,squat,lower_body,stability,2,moderate,low,small,beginner,TRUE,general|athlete,amrap|emom|ladder,8-12/side,0,1,Assisted reverse lunge,Loaded reverse lunge,Step back softly|Front knee tracks toes|Drive through front foot,Use support if balance is limited|Avoid knee collapse,acute_knee_pain|balance_limitation,3,2,3,1,3,8-12/side,Alternate controlled reverse lunges on each side.,active,1.0,reviewed,2026-06-01
glute_bridge,Glute Bridge,Glute Bridge,bodyweight,none,hinge,lower_body,core|stability,1,low,low,small,beginner,TRUE,general|beginner,amrap|emom|pyramid,12-20,0,1,Short-range glute bridge,Single-leg glute bridge,Press through heels|Ribs down|Squeeze glutes at top,Avoid over-arching low back,acute_low_back_pain,2,1,2,1,1,12-20 reps,Lift hips by squeezing glutes without arching the back.,active,1.0,reviewed,2026-06-01
dead_bug,Dead Bug,Dead Bug,bodyweight,none,anti_rotate,core,stability|mobility,1,low,low,small,beginner,TRUE,general|beginner,emom|tabata|density,6-10/side,30,1,Heel taps,Weighted dead bug,Low back gently anchored|Move slow|Exhale as limb extends,Reduce range if back arches,acute_low_back_pain,1,2,4,0,1,30 sec,Move opposite arm and leg while keeping the trunk quiet.,active,1.0,reviewed,2026-06-01
side_plank,Side Plank,Side Plank,bodyweight,none,anti_rotate,core,stability,2,low,low,small,beginner,TRUE,general|athlete,emom|tabata|density,0,30,1,Knees-down side plank,Star side plank,Stack shoulders|Lift hips|Breathe steadily,Stop for shoulder pain|Keep neck relaxed,acute_shoulder_pain,1,1,5,0,1,20-40 sec,Hold a straight side plank with steady breathing.,active,1.0,reviewed,2026-06-01
bear_crawl,Bear Crawl,Bear Crawl,bodyweight,none,locomotion,full_body,core|conditioning|stability,3,moderate,low,medium,intermediate,TRUE,general|athlete,amrap|emom|chaser,10-20 steps,30,1,Beast hold,Longer crawl,Opposite hand and foot|Hips low|Quiet steps,Keep wrists comfortable|Move slowly first,wrist_pain|acute_shoulder_pain,2,2,4,1,4,30 sec,Crawl with hips low and controlled opposite-limb steps.,active,1.0,reviewed,2026-06-01
mountain_climbers,Mountain Climbers,Mountain Climbers,bodyweight,none,locomotion,conditioning,core|full_body,3,high,moderate,small,beginner,FALSE,general|athlete,tabata|chaser|cardio_sandwich,20-40,30,1,Slow mountain climbers,Cross-body mountain climbers,Hands planted|Drive knees under hips|Keep shoulders stacked,Use slower pace for control|Stop if wrists hurt,wrist_pain|acute_shoulder_pain,1,1,3,1,5,30 sec,Drive knees from a strong plank at a sustainable pace.,active,1.0,reviewed,2026-06-01
band_row,Band Row,Band Row,resistance_band,band,pull,upper_body,stability,1,moderate,low,small,beginner,TRUE,general|beginner,amrap|emom|ladder,10-15,0,1,Lighter band row,Slower tempo band row,Squeeze shoulder blades|Elbows close|Tall posture,Anchor band securely|Avoid shrugging,acute_shoulder_pain,2,1,2,0,2,10-15 reps,Row the band toward the ribs with tall posture.,active,1.0,evidence_checked,2026-06-01
band_pallof_press,Band Pallof Press,Band Pallof Press,resistance_band,band,anti_rotate,core,stability,2,low,low,small,beginner,TRUE,general|athlete,emom|density|build_stack,8-12/side,0,1,Half-kneeling Pallof hold,Walk-out Pallof press,Ribs down|Resist rotation|Press straight out,Anchor band securely|Keep knees soft,acute_low_back_pain,1,1,5,0,1,8-12/side,Press the band forward while resisting rotation.,active,1.0,evidence_checked,2026-06-01
band_pull_apart,Band Pull Apart,Band Pull Apart,resistance_band,band,pull,upper_body,mobility|stability,1,low,low,small,beginner,TRUE,general|beginner,amrap|emom|pyramid,12-20,0,1,Wider grip pull-apart,Pause pull-apart,Arms long|Pull to chest height|Shoulders down,Use light tension|Avoid neck tension,acute_shoulder_pain,1,2,3,0,1,12-20 reps,Pull the band apart under control at chest height.,active,1.0,reviewed,2026-06-01
dumbbell_goblet_squat,Dumbbell Goblet Squat,Dumbbell Goblet Squat,dumbbell,free_weight,squat,lower_body,core|strength,2,moderate,low,small,beginner,TRUE,general|athlete,amrap|emom|ladder,8-12,0,1,Bodyweight squat,Heavier goblet squat,Hold weight close|Knees track toes|Brace before descent,Choose load you can control|Avoid painful depth,acute_knee_pain|acute_low_back_pain,4,2,3,1,3,8-12 reps,Squat with the dumbbell held close at the chest.,active,1.0,evidence_checked,2026-06-01
dumbbell_romanian_deadlift,Dumbbell Romanian Deadlift,Dumbbell Romanian Deadlift,dumbbell,free_weight,hinge,lower_body,strength|mobility,2,moderate,low,small,beginner,TRUE,general|athlete,amrap|emom|density,8-12,0,1,Hip hinge drill,Single-leg dumbbell RDL,Push hips back|Soft knees|Keep weights close,Maintain neutral spine|Stop if back pain appears,acute_low_back_pain,4,3,2,1,2,8-12 reps,Hinge at the hips with dumbbells close to the legs.,active,1.0,evidence_checked,2026-06-01
dumbbell_row,Dumbbell Row,Dumbbell Row,dumbbell|bench,free_weight,pull,upper_body,strength|stability,2,moderate,low,small,beginner,TRUE,general|athlete,amrap|emom|ladder,8-12/side,0,1,Supported light row,Renegade row,Pull elbow to hip|Keep shoulders square|Control the lower,Support torso as needed|Avoid twisting,acute_shoulder_pain|acute_low_back_pain,3,1,3,0,2,8-12/side,Row the dumbbell toward the hip with a stable torso.,active,1.0,evidence_checked,2026-06-01
dumbbell_farmer_carry,Dumbbell Farmer Carry,Dumbbell Farmer Carry,dumbbell,free_weight,carry,full_body,core|conditioning|stability,2,moderate,low,medium,beginner,TRUE,general|athlete,chipper|density|build_stack,20-40 steps,30,1,Single light carry,Heavier farmer carry,Tall posture|Crush the handles|Walk under control,Keep path clear|Set weights down safely,grip_injury,3,1,4,0,3,30 sec,Carry dumbbells with tall posture and controlled steps.,active,1.0,reviewed,2026-06-01
